organisation_name,org_uri_code,effective_date,unique_property_reference_number,unique_asset_id,name_of_building_land_or_both,street_number,street_name,postal_town,uk_postcode,coordinate_reference_system,easting,northing,geopoint_licensing_uri,tenure_type,tenure_detail,other_tenure,holding_type,size_of_building,size_of_land,effective_service_delivery_government_services_function_label,effective_service_delivery_government_services_function_code,purpose,localism_act,total_building_operation_costs,required_maintenance_costs,suitability_rating,energy_performance_dec_rating,title_number,inspire_url
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10024634701","4329","Heath End Store And Workshop","Withheld","Withheld","Withheld","CV37","OSGB36",0,0,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Vacant","n/a","Land with a permanent building",62.97,0.0000,"Government, citizens and rights",42,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"200002867891","3260","Sir Frank Whittle Business Centre","","Great Central Way","Rugby","CV21 3XH","OSGB36",451631,276080,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",2668.22,0.0000,"Transport and highways",105,"To Follow","n/a","Not Currently Available",33174.10,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071496969","1242","Kings House","","King Street","Bedworth","CV12 8LL","OSGB36",436043,286996,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Leasehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",2898.02,0.0000,"Government, citizens and rights",42,"To Follow","n/a","Not Currently Available",114593.27,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071360529","3261","Rugby Register Office","5","Bloxam Place","Rugby","CV21 3DS","OSGB36",450110,275050,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",162.48,0.0000,"Government, citizens and rights",42,"To Follow","n/a","Not Currently Available",18783.36,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071362981","6014","Lillington The Grange","151","Valley Road","Lillington, Leamington Spa","CV32 7RX","OSGB36",432847,267127,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",248.40,0.0000,"Government, citizens and rights",42,"To Follow","n/a","Not Currently Available",7007.91,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071513504","4361","Stratford Hospital Stratford Mental Health Resourc","","Arden Street","Stratford-Upon-Avon","CV37 6NX","OSGB36",419678,255280,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Other","Occupied by the Local Authority","n/a","Land with a permanent building",0.00,0.0000,"Government, citizens and rights",42,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10000227791","1246","Bermuda Innovation Centre","","St Davids Way","Nuneaton","CV10 7SG","OSGB36",435307,288835,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",3042.31,0.0000,"Transport and highways",105,"To Follow","n/a","Not Currently Available",137030.83,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399552","3262","Paddox Primary School","","Fareham Avenue","Hillmorton, Rugby","CV22 5HS","OSGB36",451946,273797,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",3872.51,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",637958.69,"Not Currently Available","C","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071496830","1247","Goodyers End Primary School","","Bowling Green Lane","Bedworth","CV12 0HP","OSGB36",434430,285850,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",2857.57,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",800383.90,"Not Currently Available","C","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399290","1248","Milby Primary School","","Milby Drive","Nuneaton","CV11 6JS","OSGB36",437650,293850,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",3330.20,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",843564.99,"Not Currently Available","C","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071496932","1249","Newdigate Primary School","","Anderton Road","Bedworth","CV12 0HA","OSGB36",433400,286380,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",3159.69,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",828913.47,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071494940","1250","Weddington Primary School","","Winchester Avenue","Nuneaton","CV10 0DN","OSGB36",436730,293330,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",3076.23,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",642005.31,"Not Currently Available","C","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10013182551","5339","Coten End Primary School","","Coten End","Warwick","CV34 4NP","OSGB36",429050,265160,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",3577.30,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",357460.11,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071508875","5340","Lillington Nursery & Primary School","","Cubbington Road","Lillington, Leamington Spa","CV32 7AG","OSGB36",432690,267180,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",3781.28,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",735346.22,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071398800","2208","Water Orton Primary School","","Attleboro Lane","Water Orton","B46 1SB","OSGB36",417620,290680,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",2683.41,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",859299.94,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071485640","2209","Birchwood Primary School (Academy)","","Birchwood Avenue","Dordon","B78 1QU","OSGB36",425790,301400,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",3028.45,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",1369894.75,"Not Currently Available","E","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071577468","1253","Pool Road Business Centre","","Pool Road","Nuneaton","CV10 9AQ","OSGB36",434707,292218,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",952.89,0.0000,"Transport and highways",105,"To Follow","n/a","Not Currently Available",8129.35,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"n/a","2211","Kingsbury Swimming Pool","","Tamworth Road","Kingsbury","B78 2LF","OSGB36",421561,296549,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",1324.37,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",112578.23,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071400006","4366","St. Lawrence C.E. (Voluntary Aided) Primary School","","St Lawrence Close","Napton-On-The-Hill","CV47 8LU","OSGB36",446604,260968,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Leasehold","Occupied by the Local Authority","n/a","Land with a permanent building",1144.51,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",93779.40,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071511833","5348","All Saints CofE Community Primary School Academy","","Warwick Road","Leek Wootton, Warwick","CV35 7QR","OSGB36",429034,268464,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",813.48,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",84496.89,"Not Currently Available","C","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071400319","4367","Wellesbourne Fire Station","","Loxley Road","Wellesbourne","CV35 9JL","OSGB36",427220,254890,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",324.22,0.0000,"Community safety",16,"To Follow","n/a","Not Currently Available",51940.89,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10007780075","1257","Attleborough Fields Industrial Estate","","Slingsby Close","Nuneaton","CV11 6RP","OSGB36",437525,290868,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land only",0.00,1.7742,"Business and employment",6,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"n/a","5352","Coten End Music Block","","County Music Service","Coten End, Warwick","CV34 4NP","OSGB36",428937,265209,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",184.74,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",52009.02,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071509737","5358","71 Coten End","71","Coten End","Warwick","CV34 4NU","OSGB36",428972,265309,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",111.98,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",22756.12,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10001177190","2214","Pooley Country Park","","Pooley Lane","Polesworth","B78 1JA","OSGB36",425973,303333,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Both Freehold & Leasehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",248.24,0.0000,"Environmental protection",30,"To Follow","n/a","Not Currently Available",8024.79,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10010517062","3266","Binley Woods Community Youth Club","","Coombe Drive","Binley Woods","CV3 2QU","OSGB36",440286,277173,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",116.30,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",399.54,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10013181212","5361","Leamington Library & Information Centre","","Parade","Leamington Spa","CV32 4AA","OSGB36",431851,265517,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Leasehold","Occupied by the Local Authority","n/a","Land with a permanent building",1142.04,0.0000,"Leisure and culture",72,"To Follow","n/a","Not Currently Available",143234.85,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10007780076","1260","Land at rear of 119 Hillcrest Road","Withheld","Withheld","Withheld","CV10","OSGB36",0,0,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Vacant","n/a","Land only",0.00,0.0892,"Government, citizens and rights",42,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10023381848","4376","Bidford-on-Avon CE Primary School / Community Libr","","Bramley Way","Bidford-On-Avon","B50 4QG","OSGB36",409681,252158,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",2017.85,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",137470.26,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071495548","1262","Family Community Care Centre","","Ramsden Avenue","Nuneaton","CV10 9EB","OSGB36",433653,292828,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Ground Lease","Occupied by the Local Authority on a Ground Lease","n/a","Land with a permanent building",32.08,0.0000,"Government, citizens and rights",42,"To Follow","n/a","Not Currently Available",26334.31,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071500154","3268","Rugby Library & Information Centre","","Little Elborow Street","Rugby","CV21 3BZ","OSGB36",450165,275072,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Leasehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",1713.09,0.0000,"Leisure and culture",72,"To Follow","n/a","Not Currently Available",144804.41,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10010517143","3269","Land & Chipping Store at Paynes Lane","","Paynes Lane","New Bilton, Rugby","CV21 2UH","OSGB36",448813,275472,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land only",0.00,0.3859,"Transport and highways",105,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071500999","3270","Hospital of St Cross","","Barby Road","Rugby","CV22 5PX","OSGB36",450551,274394,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Leasehold","Occupied by the Local Authority","n/a","Land with a permanent building",249.73,0.0000,"Government, citizens and rights",42,"To Follow","n/a","Not Currently Available",18852.82,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071500112","3271","Benn Partnership Centre","","Railway Terrace","Rugby","CV21 3HR","OSGB36",450822,275676,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Leasehold","Occupied by the Local Authority","n/a","Land with a permanent building",0.00,0.0000,"Health and social care",58,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"200002868838","1267","Keresley Village Community Centre","","Howat Road","Keresley End, Coventry","CV7 8JP","OSGB36",432055,285166,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Leasehold","Occupied by the Local Authority","n/a","Land with a permanent building",0.00,0.0000,"Health and social care",58,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"n/a","2220","Land at Holly Farm","","Knowle Hill","Hurley","n/a","OSGB36",424447,295742,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on a Leasehold or Licence","n/a","Land only",0.00,7.2615,"Environmental protection",30,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10070378468","4382","Brookbank Complex Needs Centre","","Alcester Road","Stratford-Upon-Avon","CV37 9DD","OSGB36",418790,255174,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",171.58,0.0000,"Health and social care",58,"To Follow","n/a","Not Currently Available",8831.66,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10001172533","2221","Little Stars Nursery (Foalyard Nurseries Ltd)","","Old Farm Road","Mancetter","CV9 1QN","OSGB36",431959,296711,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Leasehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",55.12,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",1969.70,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071362941","5373","St. Mary's Lodge Mental Health Resource Centre","12","St Marys Road","Leamington Spa","CV31 1JN","OSGB36",432678,265310,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Other","Occupied by the Local Authority","n/a","Land with a permanent building",0.00,0.0000,"Government, citizens and rights",42,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10013182387","5374","Land at Warwick Parkway Railway Station","","Old Budbrooke Road","Budbrooke, Warwick","CV35 8RH","OSGB36",426504,265450,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land only",0.00,1.8922,"Licences, permits and permissions",82,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10007771839","1270","Eliot Park Innovation Centre","4","Barling Way","Nuneaton","CV10 7RH","OSGB36",435489,290247,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",4206.98,0.0000,"Transport and highways",105,"To Follow","n/a","Not Currently Available",123406.10,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071510229","5379","Warwick Hospital Social Work Team","","Lakin Road","Warwick","CV34 5BW","OSGB36",428524,265839,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Other","Occupied by the Local Authority","n/a","Land with a permanent building",0.00,0.0000,"Government, citizens and rights",42,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10024634803","4384","Footpath fronting 273 / 275 Alcester Road","275","Alcester Road","Stratford-Upon-Avon","CV37 9JG","OSGB36",418134,255339,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land only",0.00,0.0300,"Government, citizens and rights",42,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071485904","2222","Kingsbury Clinic North Warks Community Health Tm","","Coventry Road","Kingsbury","B78 2LN","OSGB36",421699,296352,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Other","Occupied by the Local Authority","n/a","Land with a permanent building",0.00,0.0000,"Government, citizens and rights",42,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071496200","1273","Riversley Park Resource Centre","","Coton Road","Nuneaton","CV11 5TY","OSGB36",436298,291307,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Leasehold","Occupied by the Local Authority","n/a","Land with a permanent building",0.00,0.0000,"Government, citizens and rights",42,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10010504219","3276","Cawston Grange Primary School (Academy)","","Scholars Drive","Cawston, Rugby","CV22 7GU","OSGB36",447537,273946,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",2625.81,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",222117.53,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10007780060","1275","Oak Wood Primary School (Academy)","","Morris Drive","Nuneaton","CV11 4QH","OSGB36",436808,290334,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",1405.57,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",47311.97,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10007773990","1276","Oak Wood Secondary School (Academy)","","Morris Drive","Nuneaton","CV11 4QH","OSGB36",436756,290432,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",3973.42,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",92838.20,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399550","3277","Rugby Town Hall","","Evreux Way","Rugby","CV21 2RR","OSGB36",450217,275507,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Licence","Part Occupied by the Local Authority on a Licence","n/a","Land with a permanent building",0.00,0.0000,"Government, citizens and rights",42,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10007771834","1282","George Eliot Hospital NHS Trust","","College Street","Nuneaton","CV10 7DJ","OSGB36",435718,290585,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Leasehold","Occupied by the Local Authority","n/a","Land with a permanent building",300.78,0.0000,"Government, citizens and rights",42,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
